"DateTime_hr","chamber","T_treatment","HWtrt","combotrt","PPFD","Tair","Tcan","VPD","A","E","FluxCO2","FluxH2O","LeafArea","Tdiff","gs","Dleaf","Atogs","sw","sw0","Ps"
2016-10-29 17:30:00,"C01","ambient","C","ambient_C",67.3,21.1907711029052,21.1296666666667,0.498569336319037,0.344915500807461,0.204761595627721,0.00814494820984348,0.00483530774305121,23.61432928,-0.061104436238498,0.0392686046697498,0.489113865206634,0.00878349265802061,0.098,0.074,0.162132136279926
2016-10-29 17:30:00,"C02","elevated","C","elevated_C",67.3,24.12166929245,23.837,0.465544155571732,0.22858906418059,0.232863535867208,0.00392493248333196,0.00399832625145481,17.17025483,-0.284669292450001,0.0473724061905817,0.414374723658358,0.00482536317156794,0.1095,0.085,0.208749079189687
2016-10-29 17:30:00,"C03","ambient","HW","ambient_HW",67.3,21.0646457672119,20.984,0.452817969413985,-0.0120328738335281,0.1961978481164,-0.000148560880479741,0.00242230787654297,12.34625099,-0.0806457672118981,0.0411713823392851,0.440429484980679,-0.000292263051416822,0.079,0.061,0.134773480662983
2016-10-29 17:30:00,"C04","elevated","HW","elevated_HW",67.3,24.0757265090943,23.675,0.548001026430185,0.226078570682931,0.391167139036356,0.00535647022232021,0.00926790684260384,23.69295863,-0.400726509094298,0.0697074254654712,0.476362203959971,0.00324324946981318,NA,0.099,0.21798664825046
2016-10-29 17:30:00,"C05","ambient","C","ambient_C",50.5,21.1335000991821,21.327,0.492134631512647,0.0777819996583584,0.433540553211984,0.00100397808007695,0.0055959632583513,12.90758896,0.193499900817901,0.0884927735218643,0.522190336825988,0.000878964423452504,0.128,0.13,0.188379834254144
2016-10-29 17:30:00,"C06","elevated","C","elevated_C",50.5,24.1380162239074,23.966,0.678058907216993,0.0346929986103397,0.351651419840437,0.00102375679194434,0.0103768928567398,29.50903159,-0.172016223907399,0.0516867980228374,0.647020839324415,0.000671215860479709,0.086,0.076,0.185277163904236
2016-10-29 17:30:00,"C07","ambient","HW","ambient_HW",50.5,21.2073965072632,21.2353333333333,0.474334363937522,0.0243265153005864,0.446226905313529,0.00035518327376207,0.00651520906761995,14.6006639,0.0279368260700998,0.0946132722698824,0.478671612636811,0.000257115251560009,0.098,0.097,0.272846224677716
2016-10-29 17:30:00,"C08","elevated","C","elevated_C",50.5,24.1092796325684,23.488,0.525224438369193,0.0160034226861532,0.606744380107159,0.000390578727665785,0.014808172767046,24.40594961,-0.621279632568399,0.118790125425543,0.414601632026747,0.000134720143015457,0.091,0.053,0.223851749539595
2016-10-29 17:30:00,"C09","ambient","HW","ambient_HW",43.1,21.0197076797485,21.1543333333333,0.478785618955559,0.0241624123731243,0.342178177013468,0.000414657469232425,0.00587220906240261,17.16126117,0.134625653584802,0.0716079444975808,0.499536174558265,0.000337426420247834,0.104,0.086,0.252514272559853
2016-10-29 17:30:00,"C10","elevated","HW","elevated_HW",43.1,24.0440192222595,23.867,0.52647925727036,0.0407739685929811,0.431711219465395,0.00069302523936245,0.00733769072596389,16.99675708,-0.177019222259499,0.0831211599152017,0.494699929156806,0.000490536568962437,0.068,0.0495,0.297757366482505
2016-10-29 17:30:00,"C11","ambient","C","ambient_C",87.7,21.1233983039856,21.045,0.497760556163461,0.213304227399309,0.394628222591954,0.00203510062186092,0.00376508309747338,9.54083586,-0.0783983039855976,0.075708013831176,0.485678464052654,0.00281745903247394,0.115,0.08,0.264348987108656
2016-10-29 17:30:00,"C12","elevated","HW","elevated_HW",87.7,24.1713905334473,23.888,0.549778472513148,0.450390232749933,0.545920049021542,0.0122331358388641,0.0148278395738387,27.16119256,-0.283390533447299,0.0963388046473115,0.498703991595091,0.00467506561243701,0.09,0.052,0.217593922651934
2016-10-29 18:00:00,"C01","ambient","C","ambient_C",8.1,20.7109870910644,20.8086666666667,0.461259200487336,-0.437800095203568,0.293140636632515,-0.0103383556069524,0.00692231951878905,23.61432928,0.0976795756022995,0.0663018440993901,0.476052085449786,-0.00660313602359659,0.098,0.074,0.162132136279926
2016-10-29 18:00:00,"C02","elevated","C","elevated_C",8.1,23.799602508545,23.4923333333333,0.478313701352783,-0.853371034960158,0.227435973544978,-0.0146525981348067,0.0039051336232764,17.17025483,-0.307269175211701,0.0492861988650171,0.424041938841834,-0.0173146043844309,0.109,0.085,0.208749079189687
2016-10-29 18:00:00,"C03","ambient","HW","ambient_HW",8.1,20.7577800750732,20.734,0.464198061951216,-0.619713149761448,0.212250484362987,-0.00765113408875829,0.00262049775269451,12.34625099,-0.0237800750731978,0.0471779755902562,0.460599445785542,-0.0131356452244517,0.079,0.061,0.134773480662983
2016-10-29 18:00:00,"C04","elevated","HW","elevated_HW",8.1,23.782476902008,23.3273333333333,0.61134638661024,-0.790623573781507,0.336332648553276,-0.018732211625508,0.00796871552809109,23.69295863,-0.4551435686747,0.0574919961975807,0.531340070504293,-0.0137518894119522,NA,0.0985,0.21798664825046
2016-10-29 18:00:00,"C05","ambient","C","ambient_C",4.5,20.7703857421875,21.024,0.460823409653543,-0.752151534464056,0.28035833462479,-0.00970846284249531,0.00361875014484692,12.90758896,0.253614257812501,0.0636611916041544,0.499517124945466,-0.0118149144794671,0.128,0.13,0.188379834254144
2016-10-29 18:00:00,"C06","elevated","C","elevated_C",4.5,23.8541879653931,23.6283333333333,0.660972324488047,-0.579248760475271,0.354864389271756,-0.0170930699713331,0.0104717044731863,29.50903159,-0.2258546320598,0.0563456501886343,0.620880011829202,-0.0102802746713554,0.086,0.076,0.185277163904236
2016-10-29 18:00:00,"C07","ambient","HW","ambient_HW",4.5,20.6430430412292,20.7103333333333,0.474699409706964,-0.715433215036629,0.194746384748898,-0.0104457999156463,0.00284342650945874,14.6006639,0.0672902921041008,0.0424046843542146,0.484844445675192,-0.0168715609120086,0.098,0.097,0.272846224677716
2016-10-29 18:00:00,"C08","elevated","C","elevated_C",4.5,23.8288822174072,23.258,0.490572966903526,-0.717236922031345,0.417791199244925,-0.0175048481775285,0.0101965909562731,24.40594961,-0.570882217407203,0.0913360038339545,0.390281268970656,-0.0078527293939338,0.091,0.053,0.223851749539595
2016-10-29 18:00:00,"C09","ambient","HW","ambient_HW",2,20.7867245674133,20.883,0.450595442544997,-0.671430597065389,0.247700420255959,-0.0115225958337682,0.00425085160393126,17.16126117,0.0962754325866975,0.0575220170787937,0.465234776612035,-0.0116725843627087,0.104,0.086,0.252514272559853
2016-10-29 18:00:00,"C10","elevated","HW","elevated_HW",2,23.7768054008484,23.542,0.533704724075097,-0.660542060073878,0.254892670462148,-0.0112270729361985,0.00433234880131762,16.99675708,-0.234805400848398,0.0500051746715528,0.492202759651826,-0.0132094741076797,0.068,0.05,0.297757366482505
